"ccaa","year","codigo","variable","value","porcentaje"
"Castilla-La Mancha","2008",8,"asal_temp_sustitucion",21459,0.0988688981547605
"Castilla-La Mancha","2008",8,"asal_temp_prueba",2985,0.0137529083830542
"Castilla-La Mancha","2008",8,"asal_temp_verbal",14785,0.0681195143864176
"Castilla-La Mancha","2008",8,"asal_temp_formacion",6534,0.0301043562394895
"Castilla-La Mancha","2008",8,"asal_temp_circ_produccion",26300,0.121173028634615
"Castilla-La Mancha","2008",8,"asal_temp_temporada",10963,0.050510262848718
"Castilla-La Mancha","2008",8,"asal_temp_otro",11958,0.0550945656430694
"Castilla-La Mancha","2008",8,"asal_temp_ns",32574,0.150079476606234
"Castilla-La Mancha","2008",8,"asal_indef",464619,0.681595331424279
"Castilla-La Mancha","2008",8,"asal_indef_permanente",460204,0.990497590498882
"Castilla-La Mancha","2008",8,"asal_indef_discontinuo",4415,0.00950240950111812
"Castilla-La Mancha","2008",8,"asal_completa",605911,0.888870469908929
"Castilla-La Mancha","2008",8,"asal_parcial",75753,0.111129530091071
"Castilla-La Mancha","2008",8,"asal_parcial_involuntaria",27248,0.359695325597666
"Castilla-La Mancha","2008",8,"asal_horas_pactadas",37,NA
"Castilla-La Mancha","2008",8,"asal_horas_hab",38,NA
"Castilla-La Mancha","2008",8,"asal_horas_dif",1,NA
"Castilla-La Mancha","2008",8,"asal_horas_extra",53552,0.07856069852596
"Castilla-La Mancha","2008",8,"asal_extra_pagadas",24,NA
"Castilla-La Mancha","2008",8,"asal_extra_nopagadas",10,NA
"Castilla-La Mancha","2008",8,"parados",113806,0.116739188859278
"Castilla-La Mancha","2008",8,"parados_nuevo_emp",13702,0.120397870059575
"Castilla-La Mancha","2008",8,"parados_busca",100104,0.879602129940425
"Castilla-La Mancha","2008",8,"parados_no_busca",0,0
"Castilla-La Mancha","2008",8,"parados_tb_4mas_a",3936,0.0345851712563485
"Castilla-La Mancha","2008",8,"parados_tb_2a4a",6104,0.0536351334727519
"Castilla-La Mancha","2008",8,"parados_tb_1a2a",12948,0.113772560321951
"Castilla-La Mancha","2008",8,"parados_tb_6ma1a",17266,0.151714320861817
"Castilla-La Mancha","2008",8,"parados_tb_menos6m",55637,0.48887580619651
"Castilla-La Mancha","2008",8,"inac_desanimados",9940,0.01388512503597
"Castilla-La Mancha","2008",8,"inactivos",715874,0.423406681539768
"Cataluña","2008",9,"total",7308838,1
"Cataluña","2008",9,"menores",1167253,0.159704319619617
"Cataluña","2008",9,"mayores",6141585,0.840295680380383
"Cataluña","2008",9,"activos",3930913,0.640048619371058
"Cataluña","2008",9,"ocupados",3581341,0.911071041256828
"Cataluña","2008",9,"asalariados",2988428,0.83444385776166
"Cataluña","2008",9,"asal_temporal",637620,0.213363012259288
"Cataluña","2008",9,"asal_temp_obra",262150,0.411138295536526
"Cataluña","2008",9,"asal_temp_sustitucion",70148,0.110015369655908
"Cataluña","2008",9,"asal_temp_prueba",19995,0.0313588030488379
"Cataluña","2008",9,"asal_temp_verbal",37793,0.0592719801762805
"Cataluña","2008",9,"asal_temp_formacion",22549,0.0353643235783068
"Cataluña","2008",9,"asal_temp_circ_produccion",178896,0.280568363602145
"Cataluña","2008",9,"asal_temp_temporada",24346,0.0381826166055017
"Cataluña","2008",9,"asal_temp_otro",4333,0.00679558357642483
"Cataluña","2008",9,"asal_temp_ns",17410,0.0273046642200684
"Cataluña","2008",9,"asal_indef",2350808,0.786636987740712
"Cataluña","2008",9,"asal_indef_permanente",2330281,0.991268108667318
"Cataluña","2008",9,"asal_indef_discontinuo",20528,0.00873231671833684
"Cataluña","2008",9,"asal_completa",2619427,0.876523376169678
"Cataluña","2008",9,"asal_parcial",369001,0.123476623830321
"Cataluña","2008",9,"asal_parcial_involuntaria",108253,0.293367768651033
"Cataluña","2008",9,"asal_horas_pactadas",38,NA
"Cataluña","2008",9,"asal_horas_hab",38,NA
"Cataluña","2008",9,"asal_horas_dif",0,NA
"Cataluña","2008",9,"asal_horas_extra",136430,0.0456527645973067
"Cataluña","2008",9,"asal_extra_pagadas",24,NA
"Cataluña","2008",9,"asal_extra_nopagadas",11,NA
"Cataluña","2008",9,"parados",349572,0.0889289587431724
"Cataluña","2008",9,"parados_nuevo_emp",22718,0.064988042520568
"Cataluña","2008",9,"parados_busca",326854,0.935011957479432
"Cataluña","2008",9,"parados_no_busca",0,0
"Cataluña","2008",9,"parados_tb_4mas_a",9310,0.0266325678257984
"Cataluña","2008",9,"parados_tb_2a4a",16874,0.0482704564438799
"Cataluña","2008",9,"parados_tb_1a2a",40681,0.116373737026993
"Cataluña","2008",9,"parados_tb_6ma1a",56290,0.161025482590139
"Cataluña","2008",9,"parados_tb_menos6m",176970,0.506247639971165
"Cataluña","2008",9,"inac_desanimados",11514,0.00520837102926169
"Cataluña","2008",9,"inactivos",2210672,0.359951380628942
"Ceuta","2008",18,"total",75328,1
"Ceuta","2008",18,"menores",16528,0.219413763806287
"Ceuta","2008",18,"mayores",58800,0.780586236193713
"Ceuta","2008",18,"activos",33194,0.56452380952381
"Ceuta","2008",18,"ocupados",27407,0.825661264083871
"Ceuta","2008",18,"asalariados",22646,0.826285255591637
"Ceuta","2008",18,"asal_temporal",7978,0.352291795460567
"Ceuta","2008",18,"asal_temp_obra",3016,0.378039608924542
"Ceuta","2008",18,"asal_temp_sustitucion",680,0.085234394585109
"Ceuta","2008",18,"asal_temp_prueba",84,0.0105289546252194
"Ceuta","2008",18,"asal_temp_verbal",146,0.0183003258962146
"Ceuta","2008",18,"asal_temp_formacion",339,0.0424918525946352
"Ceuta","2008",18,"asal_temp_circ_produccion",1057,0.132489345700677
"Ceuta","2008",18,"asal_temp_temporada",270,0.0338430684382051
"Ceuta","2008",18,"asal_temp_otro",688,0.0862371521684633
"Ceuta","2008",18,"asal_temp_ns",1699,0.212960641764853
"Ceuta","2008",18,"asal_indef",14668,0.647708204539433
"Ceuta","2008",18,"asal_indef_permanente",14549,0.991887101172621
"Ceuta","2008",18,"asal_indef_discontinuo",119,0.00811289882737933
"Ceuta","2008",18,"asal_completa",20918,0.923695133798463
"Ceuta","2008",18,"asal_parcial",1728,0.0763048662015367
"Ceuta","2008",18,"asal_parcial_involuntaria",1061,0.61400462962963
"Ceuta","2008",18,"asal_horas_pactadas",38,NA
"Ceuta","2008",18,"asal_horas_hab",38,NA
"Ceuta","2008",18,"asal_horas_dif",1,NA
"Ceuta","2008",18,"asal_horas_extra",1297,0.057272807559834
"Ceuta","2008",18,"asal_extra_pagadas",21,NA
"Ceuta","2008",18,"asal_extra_nopagadas",14,NA
"Ceuta","2008",18,"parados",5786,0.174308609989757
"Ceuta","2008",18,"parados_nuevo_emp",546,0.0943657103352921
"Ceuta","2008",18,"parados_busca",5241,0.905807120636018
"Ceuta","2008",18,"parados_no_busca",0,0
"Ceuta","2008",18,"parados_tb_4mas_a",494,0.085378499827169
"Ceuta","2008",18,"parados_tb_2a4a",1125,0.194434842723816
"Ceuta","2008",18,"parados_tb_1a2a",1287,0.222433460076046
"Ceuta","2008",18,"parados_tb_6ma1a",882,0.152436916695472
"Ceuta","2008",18,"parados_tb_menos6m",1443,0.249395091600415
"Ceuta","2008",18,"inac_desanimados",1005,0.0392470808763229
"Ceuta","2008",18,"inactivos",25607,0.435493197278912
"Comunidad Valenciana","2008",10,"total",4927878,1
"Comunidad Valenciana","2008",10,"menores",787004,0.159704440734937
"Comunidad Valenciana","2008",10,"mayores",4140874,0.840295559265063
"Comunidad Valenciana","2008",10,"activos",2518949,0.608313365729071
"Comunidad Valenciana","2008",10,"ocupados",2217025,0.880138899199627
"Comunidad Valenciana","2008",10,"asalariados",1824805,0.823087245294933
"Comunidad Valenciana","2008",10,"asal_temporal",578866,0.317220744134305
"Comunidad Valenciana","2008",10,"asal_temp_obra",163028,0.281633400476103
"Comunidad Valenciana","2008",10,"asal_temp_sustitucion",39122,0.0675838622410022
"Comunidad Valenciana","2008",10,"asal_temp_prueba",8533,0.0147408899468962
"Comunidad Valenciana","2008",10,"asal_temp_verbal",73453,0.126891197617411
"Comunidad Valenciana","2008",10,"asal_temp_formacion",17939,0.03098990094426
"Comunidad Valenciana","2008",10,"asal_temp_circ_produccion",101976,0.176165122843629
"Comunidad Valenciana","2008",10,"asal_temp_temporada",47496,0.0820500772199438
"Comunidad Valenciana","2008",10,"asal_temp_otro",27924,0.0482391434287037
"Comunidad Valenciana","2008",10,"asal_temp_ns",99395,0.171706405282051
"Comunidad Valenciana","2008",10,"asal_indef",1245939,0.682779255865695
"Comunidad Valenciana","2008",10,"asal_indef_permanente",1202135,0.964842580575775
"Comunidad Valenciana","2008",10,"asal_indef_discontinuo",43804,0.0351574194242254
"Comunidad Valenciana","2008",10,"asal_completa",1575352,0.863298818229893
"Comunidad Valenciana","2008",10,"asal_parcial",249453,0.136701181770107
"Comunidad Valenciana","2008",10,"asal_parcial_involuntaria",95674,0.383535174962819
"Comunidad Valenciana","2008",10,"asal_horas_pactadas",38,NA
"Comunidad Valenciana","2008",10,"asal_horas_hab",39,NA
"Comunidad Valenciana","2008",10,"asal_horas_dif",1,NA
"Comunidad Valenciana","2008",10,"asal_horas_extra",186387,0.102140776685728
"Comunidad Valenciana","2008",10,"asal_extra_pagadas",25,NA
